Date,Time,Address,accel.X,accel.Y,accel.Z,gyro.X,gyro.Y,gyro.Z,temp.O,temp.A
2024-06-19,14:56:31.007,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.23,0.52,0.19,,
2024-06-19,14:56:31.139,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.34,0.73,1.31,0.29,,
2024-06-19,14:56:31.275,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.06,9.34,0.08,0.23,0.01,,
2024-06-19,14:56:31.408,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:31.545,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.34,0.08,0.15,-0.02,,
2024-06-19,14:56:31.664,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.34,0.07,0.19,-0.02,,
2024-06-19,14:56:31.799,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.14,9.38,0.06,0.11,-0.01,,
2024-06-19,14:56:31.933,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.34,0.06,0.15,-0.02,,
2024-06-19,14:56:32.068,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.3,0.05,0.1,-0.01,,
2024-06-19,14:56:32.204,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.06,0.14,-0.02,,
2024-06-19,14:56:32.338,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.06,0.19,-0.01,,
2024-06-19,14:56:32.458,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.06,0.21,-0.02,,
2024-06-19,14:56:32.594,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.14,9.41,0.06,0.04,-0.03,,
2024-06-19,14:56:32.729,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.03,0.14,-0.03,,
2024-06-19,14:56:32.864,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.11,0.28,-0.02,,
2024-06-19,14:56:32.999,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.03,0.09,-0.02,,
2024-06-19,14:56:33.134,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.03,0.15,-0.03,,
2024-06-19,14:56:33.254,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.09,0.09,-0.02,,
2024-06-19,14:56:33.419,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.41,0.06,0.3,-0.02,,
2024-06-19,14:56:33.524,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.09,0.07,-0.02,,
2024-06-19,14:56:33.659,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.03,0.22,-0.01,,
2024-06-19,14:56:33.794,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.03,0.06,-0.01,,
2024-06-19,14:56:33.930,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.1,0.06,-0.02,,
2024-06-19,14:56:34.049,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.06,0.23,-0.03,,
2024-06-19,14:56:34.186,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.03,0.06,-0.04,,
2024-06-19,14:56:34.318,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.1,0.24,-0.01,,
2024-06-19,14:56:34.454,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:34.589,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.14,9.38,0.06,0.05,-0.02,,
2024-06-19,14:56:34.724,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.1,0.35,-0.01,,
2024-06-19,14:56:34.858,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.0,0.05,-0.01,,
2024-06-19,14:56:34.979,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.03,0.16,-0.01,,
2024-06-19,14:56:35.115,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.22,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:35.249,27709F9E-AA39-8E08-68DF-757260651D6E,0.04,1.1,9.45,0.06,0.04,-0.02,,
2024-06-19,14:56:35.399,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.14,9.38,0.01,0.26,-0.02,,
2024-06-19,14:56:35.519,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.41,0.11,0.15,-0.02,,
2024-06-19,14:56:35.655,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.06,0.03,-0.02,,
2024-06-19,14:56:35.774,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.11,0.39,-0.02,,
2024-06-19,14:56:35.985,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.14,9.38,0.01,-0.09,-0.02,,
2024-06-19,14:56:36.059,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.38,0.06,0.4,-0.02,,
2024-06-19,14:56:36.210,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.38,0.06,0.03,-0.03,,
2024-06-19,14:56:36.358,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.11,0.29,-0.01,,
2024-06-19,14:56:36.434,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:36.658,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.06,9.34,0.06,0.29,-0.02,,
2024-06-19,14:56:36.733,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.06,9.34,0.06,0.02,-0.02,,
2024-06-19,14:56:36.959,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.18,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:37.032,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:37.110,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.34,0.06,0.16,-0.01,,
2024-06-19,14:56:37.259,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.14,9.34,-0.01,-0.0,-0.01,,
2024-06-19,14:56:37.333,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.13,0.31,-0.02,,
2024-06-19,14:56:37.558,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.07,0.16,-0.03,,
2024-06-19,14:56:37.633,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:37.858,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.14,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:37.860,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.41,0.06,0.16,-0.01,,
2024-06-19,14:56:38.008,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.01,,
2024-06-19,14:56:38.158,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.34,0.06,0.15,-0.01,,
2024-06-19,14:56:38.234,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.06,0.16,-0.02,,
2024-06-19,14:56:38.383,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.41,0.06,-0.02,-0.02,,
2024-06-19,14:56:38.533,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.41,0.13,0.32,-0.02,,
2024-06-19,14:56:38.684,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,-0.02,0.16,-0.01,,
2024-06-19,14:56:38.759,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.45,0.06,0.19,-0.02,,
2024-06-19,14:56:38.908,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.41,0.06,0.16,-0.02,,
2024-06-19,14:56:39.059,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.41,0.06,0.17,-0.03,,
2024-06-19,14:56:39.211,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.34,0.06,0.15,-0.01,,
2024-06-19,14:56:39.358,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.45,0.06,0.14,-0.03,,
2024-06-19,14:56:39.433,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.18,9.34,0.06,0.15,-0.03,,
2024-06-19,14:56:39.583,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.03,-0.05,-0.01,,
2024-06-19,14:56:39.658,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.05,0.35,-0.02,,
2024-06-19,14:56:39.958,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.16,-0.02,,
2024-06-19,14:56:39.959,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.01,,
2024-06-19,14:56:40.109,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,-0.03,0.15,-0.02,,
2024-06-19,14:56:40.183,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.22,9.45,0.06,-0.06,-0.02,,
2024-06-19,14:56:40.333,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.07,0.14,-0.02,,
2024-06-19,14:56:40.484,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.23,0.59,-0.02,,
2024-06-19,14:56:40.558,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,-0.02,0.16,-0.02,,
2024-06-19,14:56:40.711,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,-0.03,-0.07,-0.01,,
2024-06-19,14:56:40.934,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.15,0.15,-0.03,,
2024-06-19,14:56:41.008,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.06,0.37,-0.01,,
2024-06-19,14:56:41.158,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.14,9.34,0.06,0.15,-0.02,,
2024-06-19,14:56:41.233,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,-0.03,0.14,-0.03,,
2024-06-19,14:56:41.384,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.16,-0.09,-0.02,,
2024-06-19,14:56:41.534,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.34,0.06,0.39,-0.01,,
2024-06-19,14:56:41.608,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.06,0.16,-0.02,,
2024-06-19,14:56:41.759,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.41,0.07,0.15,-0.01,,
2024-06-19,14:56:41.908,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.34,0.06,0.19,-0.03,,
2024-06-19,14:56:41.984,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.3,0.06,0.15,-0.01,,
2024-06-19,14:56:42.134,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.06,0.15,-0.02,,
2024-06-19,14:56:42.360,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.34,0.06,0.15,-0.02,,
2024-06-19,14:56:42.435,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.41,-0.02,,
2024-06-19,14:56:42.509,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.1,9.38,0.06,-0.1,-0.02,,
2024-06-19,14:56:42.659,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.41,-0.05,-0.11,-0.04,,
2024-06-19,14:56:42.809,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.34,0.17,0.41,-0.03,,
2024-06-19,14:56:42.959,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.22,9.3,0.06,0.15,-0.01,,
2024-06-19,14:56:43.033,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.38,0.06,0.15,-0.03,,
2024-06-19,14:56:43.184,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:43.334,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.34,0.06,0.16,-0.02,,
2024-06-19,14:56:43.408,27709F9E-AA39-8E08-68DF-757260651D6E,0.24,1.14,9.3,0.06,0.15,-0.02,,
2024-06-19,14:56:43.560,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:43.709,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.38,0.06,0.15,-0.03,,
2024-06-19,14:56:43.859,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.1,9.34,0.06,0.16,-0.02,,
2024-06-19,14:56:43.933,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.22,9.38,0.06,0.16,-0.02,,
2024-06-19,14:56:44.085,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.3,0.06,0.15,-0.02,,
2024-06-19,14:56:44.234,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:44.308,27709F9E-AA39-8E08-68DF-757260651D6E,0.12,1.1,9.38,0.06,0.15,-0.01,,
2024-06-19,14:56:44.459,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.41,0.06,0.15,-0.02,,
2024-06-19,14:56:44.609,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.1,9.41,0.06,0.14,-0.01,,
2024-06-19,14:56:44.759,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.18,9.41,0.06,0.45,-0.01,,
2024-06-19,14:56:44.834,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.18,9.38,0.06,0.15,-0.02,,
2024-06-19,14:56:44.984,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,-0.06,0.16,-0.03,,
2024-06-19,14:56:45.133,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.31,0.15,-0.01,,
2024-06-19,14:56:45.283,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,-0.06,0.16,-0.02,,
2024-06-19,14:56:45.358,27709F9E-AA39-8E08-68DF-757260651D6E,0.2,1.14,9.34,0.06,0.15,-0.02,,
2024-06-19,14:56:45.510,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.15,-0.01,,
2024-06-19,14:56:45.659,27709F9E-AA39-8E08-68DF-757260651D6E,0.16,1.14,9.38,0.06,0.15,-0.01,,
